Unnamed: 0;ID;ENLACE;USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;TRADUCCIÓN;POLARIDAD;SUBJETIVIDAD
10;1,22E+18;https://twitter.com/DdiegopozoP/status/1217137363018711042;DdiegopozoP;utpl;2020-01-14 17:32:15+00:00;2;9;@utpl @FestivalDeLoja @festivaloffloja @InvestigaUtpl @acostaide @baltachacalvas @luciano_180o @JP_SuarezChacon;;;ELEMENTAL gestión e investigación de la @utpl para presentar estos indicadores que servirán para la toma de decisiones de cara al @FestivalDeLoja y @festivaloffloja en la edición 2020. Felicitaciones @InvestigaUtpl @acostaide @baltachacalvas @luciano_180o @JP_SuarezChacon.;ELEMENTAL management and research of the @utpl to present these indicators that will serve to make decisions for @FestivalDeLoja and @festivaloffloja in the 2020 edition. Congratulations @InvestigaUtpl @acostaide @baltachacalvas @ luciano_180o @JP_SuarezChacon.;0.0;0.0
11;1,22E+18;https://twitter.com/daferontaneda/status/1217135778062532610;daferontaneda;MunicipioDeLoja;2020-01-14 17:25:57+00:00;0;1;;;;De los 9 ecuatorianos, cuántos fueron lojanos?!.;Of the 9 Ecuadorians, how many were far away?;0.3;0.75
12;1,22E+18;https://twitter.com/festivaloffloja/status/1216893406833709056;festivaloffloja;;2020-01-14 01:22:51+00:00;3;7;;#FIAVL2019 #offloja2019 #lojaparaelmundo;;#FIAVL2019 Te invitamos a ver nuestros indicadores generales del IV Festival OFF 2019 en nuestro Facebook oficial. Gracias por ser parte del mismo! se vienen grandes cosas para el LOJA OFF 2020. #offloja2019 #lojaparaelmundo.;# FIAVL2019 We invite you to see our general indicators of the IV Festival OFF 2019 on our official Facebook. ;0.05000000000000002;0.5
13;1,22E+18;https://twitter.com/dohnkan/status/1216150102974308352;dohnkan;DdiegopozoP;2020-01-12 00:09:14+00:00;0;0;;;;Yo lo hago. Los invito a sugerir un tema..;I do it ;0.0;0.0
14;1,22E+18;https://twitter.com/BailonOficial/status/1216136455904550913;BailonOficial;DdiegopozoP;2020-01-11 23:15:00+00:00;0;1;;;;Sería muy bueno .;It would be very good .;0.9099999999999999;0.7800000000000001
15;1,21E+18;https://twitter.com/estebansar/status/1211072984036859906;estebansar;;2019-12-28 23:54:34+00:00;1;6;@MunicipioDeLoja @Cultura_Ec @festivaloffloja @FestivalDeLoja @CPCCS @DeporteEc @CentroOds @Cooper2030ods;#Loja;;Debería ser uno de los proyectos de #Loja para el bicentenario, camino al año 2030. @MunicipioDeLoja @Cultura_Ec @festivaloffloja @FestivalDeLoja @CPCCS @DeporteEc @CentroOds @Cooper2030ods.;It should be one of the #Loja projects for the bicentennial, on the way to 2030. @MunicipalDeLoja @Cultura_Ec @festivaloffloja @FestivalDeLoja @CPCCS @DeporteEc @CentroOds @ Cooper2030ods.;0.0;0.0
16;1,21E+18;https://twitter.com/RudyGuemes/status/1209219996917915648;RudyGuemes;;2019-12-23 21:11:28+00:00;0;2;@RudyGuemes @festivaloffloja;#Argentina #loja #ecuador #gracias #fiesta #vamosrudytodavia #festival #circo #circus #teatro #performer #streetperformer #busker #offloja2019;;Desde #Argentina @rudyguemes llega a #loja #ecuador #gracias @festivaloffloja . Siempre una #fiesta #vamosrudytodavia . . . #festival #circo #circus #teatro #performer #streetperformer #busker #offloja2019… https://www.instagram.com/p/B6bev6LAJK3/?igshid=1jufpsqgnlddj.;From #Argentina @rudyguemes arrives at #loja #ecuador #gracias @festivaloffloja. ;0.0;0.0
17;1,21E+18;https://twitter.com/AugustoCarrion8/status/1208539996707270661;AugustoCarrion8;sinfonicaLoja;2019-12-22 00:09:23+00:00;0;1;;;;Felicidades a los niños talentosos, nos brindaron una noche mágica!!.;Congratulations to the talented children, they gave us a magical night!;0.6625;0.95
18;1,21E+18;https://twitter.com/AugustoCarrion8/status/1208030503619776513;AugustoCarrion8;sinfonicaLoja;2019-12-20 14:24:50+00:00;0;0;;;;Felicidades, talento Lojano innegable. .;Congratulations, undeniable Lojano talent. ;0.0;0.0
19;1,21E+18;https://twitter.com/ernesto_alvear/status/1207072793357107200;ernesto_alvear;festivaloffloja;2019-12-17 22:59:14+00:00;0;1;;;;Maravilloso. .;Wonderful. ;1.0;1.0
20;1,20E+18;https://twitter.com/ElyIntermitente/status/1201880138369122304;ElyIntermitente;;2019-12-03 15:05:29+00:00;0;0;@festivaloffloja;#OtroMar;;"""Dejemos la orilla en paz"". @festivaloffloja #OtroMar en Loja, Ecuador https://www.instagram.com/p/B5nVqvwArfy/?igshid=1p5i9vbs4y86e.";"""Let's leave the shore alone."" ";0.0;0.0
21;1,20E+18;https://twitter.com/cadenaecotel/status/1200391564595478528;cadenaecotel;;2019-11-29 12:30:25+00:00;0;0;@festivaloffloja;#EcotelPress #Loja #ArrozVerde #Tuarez;;#EcotelPress ya en circulación en #Loja y su provincia. Caso #ArrozVerde #Tuarez @festivaloffloja festivaldeloja https://www.instagram.com/p/B5cwpzXg5WX/?igshid=p5jfglj4kkmr.;#EcotelPress already in circulation in #Loja and its province. ;0.0;0.0
22;1,20E+18;https://twitter.com/cadenaecotel/status/1200217297065009152;cadenaecotel;;2019-11-29 00:57:57+00:00;0;0;@sobornos @festivaloffloja;#EcotelPress #Loja #ViaLojaCatamayo #CasoTuarez;;#EcotelPress ya en circulación en #Loja y su provincia casi @Sobornos #ViaLojaCatamayo @festivaloffloja festivaldeloja #CasoTuarez https://www.instagram.com/p/B5bhVudg0JI/?igshid=veuz06a4u4im.;#EcotelPress already in circulation in #Loja and its province almost @Sobornos #ViaLojaCatamayo @festivaloffloja festivaldeloja #CasoTuarez https://www.instagram.com/p/B5bhVudg0JI/?igshid=veuz06a4u4im.;0.0;0.0
23;1,20E+18;https://twitter.com/mcarrera776/status/1200163168275902466;mcarrera776;;2019-11-28 21:22:51+00:00;1;0;@festivaloffloja;;;Las huellas del festival @festivaloffloja .;The footprints of the festival @festivaloffloja.;0.0;0.0
24;1,20E+18;https://twitter.com/gerareee/status/1200086909516685314;gerareee;;2019-11-28 16:19:50+00:00;0;2;@festivaloffloja @CynthiaViteri6;;;Esas calles cerradas son el lienzo para la expresión artística, y la integración familiar que tanto necesita Guayaquil. Tome de referente la experiencia de Loja @festivaloffloja @CynthiaViteri6.;Those closed streets are the canvas for artistic expression, and the family integration that Guayaquil needs so much. ;0.14444444444444446;0.43333333333333335
25;1,20E+18;https://twitter.com/festivaloffloja/status/1199893009644630016;festivaloffloja;;2019-11-28 03:29:21+00:00;0;5;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;"#Fiavl2019 Gracias a quienes compartieron su arte y talento en nuestros escenarios OFF! Loja es su casa ;) #OffLoja2019 #LojaParaElMundo.";# Fiavl2019 Thanks to those who shared their art and talent in our scenarios OFF! ;0.25;0.2
26;1,20E+18;https://twitter.com/festivaloffloja/status/1199891821406670848;festivaloffloja;;2019-11-28 03:24:37+00:00;2;3;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Postales de artistas de calle que destacaron en esta IV edición #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 Postcards of street artists who stood out in this IV edition # OffLoja2019 #LojaParaElMundo.;0.0;0.0
27;1,20E+18;https://twitter.com/festivaloffloja/status/1199890487290843137;festivaloffloja;;2019-11-28 03:19:19+00:00;2;2;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Tuvimos escenarios tan variados como la naturaleza de nuestra cartelera. #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 We had scenarios as varied as the nature of our billboard. ;0.0;0.0
28;1,20E+18;https://twitter.com/festivaloffloja/status/1199889065807626240;festivaloffloja;;2019-11-28 03:13:40+00:00;0;1;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 La ciudad se transforma en cada edición. Durante 10 días Loja es un escenario viviente. #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 The city is transformed into each edition. ;0.0;0.0
29;1,20E+18;https://twitter.com/festivaloffloja/status/1199888801117720576;festivaloffloja;;2019-11-28 03:12:37+00:00;2;1;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 La ciudad se transforma en cada edición. Durante 10 días Loja es un escenario viviente. #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 The city is transformed into each edition. ;0.0;0.0
30;1,20E+18;https://twitter.com/festivaloffloja/status/1199887183269765121;festivaloffloja;;2019-11-28 03:06:11+00:00;2;2;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Te compartimos algunas postales del arte en las calles de la IV edición del #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 We share some postcards of art in the streets of the IV edition of # OffLoja2019 #LojaParaElMundo.;0.0;0.0
31;1,20E+18;https://twitter.com/festivaloffloja/status/1199886606443921409;festivaloffloja;;2019-11-28 03:03:54+00:00;5;6;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Te compartimos algunas postales del arte en las calles de la IV edición del #OffLoja2019 #LojaParaElMundo.;# Fiavl2019 We share some postcards of art in the streets of the IV edition of # OffLoja2019 #LojaParaElMundo.;0.0;0.0
32;1,20E+18;https://twitter.com/priideliciouss/status/1199839747423821824;priideliciouss;loja280c;2019-11-27 23:57:42+00:00;0;2;;;;Excelente! Es admirable el trabajo y sobretodo la iniciativa .;Excellent! ;1.0;1.0
33;1,20E+18;https://twitter.com/loja280c/status/1199835031537106944;loja280c;;2019-11-27 23:38:58+00:00;3;10;@CristobalMocha @festivaloffloja @bolivar_lojan;#loja280c;;El amigo @CristobalMocha se ha jugado la piel con este concurso de microcuentos #loja280c en el marco @festivaloffloja. Pese a su discapacidad visual 100% no se ha amilanado Juguémonos también la piel revisando que estén todos los cuentos https://www.dropbox.com/s/k7m8dfnkvix4g68/cuentos_2019.pdf?dl=0 @bolivar_lojan.;The friend @CristobalMocha has played the skin with this micro-contest contest # loja280c in the framework @festivaloffloja. ;0.0;0.0
34;1,20E+18;https://twitter.com/festivaloffloja/status/1199784248472932353;festivaloffloja;;2019-11-27 20:17:10+00:00;2;2;;#Fiavl2019;;#Fiavl2019 Así se vivió el evento de Clausura del Festival Off 2019. Gracias a la Prefectura de Loja por una noche espectacular de luces y mapping!!! Gracias por todo Loja. Todos somos parte de este… https://www.instagram.com/p/B5YcZufgCUw/?igshid=1qgqdxc1c8dsr.;# Fiavl2019 This is how the Closing Event of the Off Festival 2019 was lived. Thanks to the Prefecture of Loja for a spectacular night of lights and mapping !!! ;0.6;0.55
35;1,20E+18;https://twitter.com/festivaloffloja/status/1199779983322943489;festivaloffloja;;2019-11-27 20:00:13+00:00;1;2;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Así se culminó nuestra programación 2019 con la obra Guayaquil Superstars de Teatro El Juglar. Estuvo increíble y con el teatro completamente lleno. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5YaoKfgEtP/?igshid=ua95xu7p0u60.;# Fiavl2019 This is how our 2019 program was completed with the Guayaquil Superstars play by Teatro El Juglar. ;0.0;0.0
36;1,20E+18;https://twitter.com/festivaloffloja/status/1199745096536805377;festivaloffloja;;2019-11-27 17:41:35+00:00;1;2;;;;Los niños y niñas de la Escuela 18 de Noviembre aprendiendo sobre composición coreográfica y como trasladarla a la gráfica. Parte del proyecto de mediación cultural gestionado por ga_pineiros que acompaño al mural… https://www.instagram.com/p/B5YKwzoAo3b/?igshid=1tlpeqojtf6wv.;The children of the School November 18 learning about choreographic composition and how to transfer it to the graph. ;0.0;0.0
37;1,20E+18;https://twitter.com/LoretoIsa/status/1199744124221632512;LoretoIsa;;2019-11-27 17:37:44+00:00;3;2;@festivaloffloja @cculturaloja;;;Hoy cerramos nuestro Ciclo de Cine chileno en el marco del @festivaloffloja y con el apoyo del Cine Club la Luciernaga de la @cculturaloja. 19h00 Auditorio Pablo Palacio..;Today we close our Chilean Film Series within the framework of @festivaloffloja and with the support of the Luciernaga Cinema Club of @cculturaloja. ;0.0;0.0
38;1,20E+18;https://twitter.com/festivaloffloja/status/1199728839485616128;festivaloffloja;;2019-11-27 16:36:59+00:00;2;4;;#Fiavl #OffLoja2019 #LojaParaElMundo #LojanosIlustres;;¿Sabías Qué? - Salvador Bustamante Celi. Conoce los datos más relevantes de los Lojanos Ilustres a quienes rendimos homenaje en la IV edición del FIAVL OFF. #Fiavl #OffLoja2019 #LojaParaElMundo #LojanosIlustres en… https://www.instagram.com/p/B5YDXlFgEMM/?igshid=1gbsh1cbmzmk1.;Did you know? ;0.0;0.0
39;1,20E+18;https://twitter.com/kmjimenezv/status/1199496747015430145;kmjimenezv;loja280c;2019-11-27 01:14:44+00:00;0;0;;;;De acuerdo gracias ¡¡¡.;Ok, thank you!;0.625;0.5
40;1,20E+18;https://twitter.com/bolivar_lojan/status/1199449683653005314;bolivar_lojan;lamingaloja;2019-11-26 22:07:43+00:00;0;0;;;;Julito envía captura de pantalla. O es cuento?.;Julito sends screenshot. ;0.0;0.0
41;1,20E+18;https://twitter.com/bolivar_lojan/status/1199435915975888897;bolivar_lojan;lamingaloja;2019-11-26 21:13:01+00:00;0;0;;;;Voy.;I go.;0.0;0.0
42;1,20E+18;https://twitter.com/lamingaloja/status/1199432687204913152;lamingaloja;bolivar_lojan;2019-11-26 21:00:11+00:00;0;0;;;;Que pasa suoercuy, yo si escribí un cuento de la minga.;What's up suoercuy, I did write a minga story.;0.0;0.0
43;1,20E+18;https://twitter.com/bolivar_lojan/status/1199431862227275783;bolivar_lojan;;2019-11-26 20:56:54+00:00;1;2;@festivaloffloja @CristobalMocha @bolivar_lojan @kuripato @MunicipioDeLoja @NixonGranda8;#loja280c;;"El mejor cuento; el de kuripato. Estuvo engañándome hasta el final del concurso con el cuento que iba a escribir un cuento en el concurso #loja280c. Así no es amigo. Ama llulla!!! @festivaloffloja @CristobalMocha @bolivar_lojan @kuripato @MunicipioDeLoja @NixonGranda8.";"The best story; ";1.0;0.3
44;1,20E+18;https://twitter.com/atoapanta/status/1199406196534468610;atoapanta;loja280c;2019-11-26 19:14:55+00:00;0;0;;;;De mi parte está ok, gracias.;On my part it's ok, thanks.;0.35;0.35
45;1,20E+18;https://twitter.com/festivaloffloja/status/1199373947562643456;festivaloffloja;;2019-11-26 17:06:47+00:00;0;0;;#Fiavl2019 #OffLoja2019;;#Fiavl2019 Una parte del proceso del Proyecto RUIDO, una intervención mural transmedia de sergiosilvando con participación de la Escuela 18 de noviembre! Un hermoso proceso de meditación cultural. #OffLoja2019… https://www.instagram.com/p/B5Vh-zAgWy2/?igshid=ny22cyq9q4xo.;# Fiavl2019 A part of the NOISE Project process, a transmedia mural intervention of sergiosilvando with the participation of the School November 18! ;0.0;0.0
46;1,20E+18;https://twitter.com/CristobalMocha/status/1199325669722918914;CristobalMocha;;2019-11-26 13:54:56+00:00;0;1;@jairm2 @loja280c @festivaloffloja @bolivar_lojan;;;@jairm2 agradezco su oportuna observación, estamos revisando todos los microcuentos enviados para que nadie se quede fuera. Todas las observaciones de quienes confiaron en esta propuesta serán bienvenidas. @loja280c @Festivaloffloja @bolivar_lojan.;@ jairm2 I appreciate your timely observation, we are reviewing all the micro-discounts sent so that nobody is left out. ;0.0;0.0
47;1,20E+18;https://twitter.com/loja280c/status/1199193199786504192;loja280c;;2019-11-26 05:08:33+00:00;3;5;@festivaloffloja;#loja280c;;La lista de microcuentos del concurso #loja280c realizado en el marco del @festivaloffloja Solicitarla al 0995663197/0995866576 Puede bajarla de https://www.dropbox.com/s/k7m8dfnkvix4g68/cuentos_2019.pdf?dl=0 Requerimos su verificación para posterior publicación en caso de que haya financiamiento. Gracias.;The list of micro-discounts of the # loja280c contest held within the framework of the @festivaloffloja Request it at 0995663197/0995866576 You can download it from https://www.dropbox.com/s/k7m8dfnkvix4g68/ discounts_2019.pdf?dl=0 We require your verification for later publication ;0.0;0.0
48;1,20E+18;https://twitter.com/Christiansbone1/status/1199162743665954823;Christiansbone1;;2019-11-26 03:07:32+00:00;0;0;@festivaloffloja @dantbass @Gianni_B_Music;;;Muchas gracias a todo quienes hicieron posible esta nueva edición del lojajazzfest usfq_com @festivaloffloja danisortegav karmyedith raulmolina @dantbass francislara74 @Gianni_B_Music… https://www.instagram.com/p/B5UB8HYg1OC/?igshid=36050qeakmby.;Many thanks to all who made this new edition of the lojajazzfest usfq_com @festivaloffloja danisortegav karmyedith raulmolina @dantbass francislara74 @ Gianni_B_Music… https://www.instagram.com/p/B5UB8HYg1OC/?igshid=36050qeakmby possible.;0.20909090909090908;0.5386363636363636
49;1,20E+18;https://twitter.com/festivaloffloja/status/1199107262394044417;festivaloffloja;;2019-11-25 23:27:04+00:00;0;0;;#F #OffLoja2019 #LojaParaElMundo;;#FábricaOff La presentación de los arreglos de la Residencia de ORQUESTACIÓN se realizó con total éxito! Gracias a su docente Iván Salazar. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5Tota5AECt/?igshid=tkw3ya2hgh1f.;# FábricaOff The presentation of the arrangements of the ORCHESTRATION Residence was carried out with total success! ;0.1875;0.375
50;1,20E+18;https://twitter.com/festivaloffloja/status/1199106279647698945;festivaloffloja;;2019-11-25 23:23:10+00:00;0;1;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Gracias al Circo Social Municipal por su increíble participación. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5Tn-xNAwAn/?igshid=a9imqh8w2iqs.;# Fiavl2019 Thanks to the Municipal Social Circus for their incredible participation. ;0.37777777777777777;0.3888888888888889
51;1,20E+18;https://twitter.com/festivaloffloja/status/1199104687678590976;festivaloffloja;;2019-11-25 23:16:50+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Gracias a runajazz_ec por tremendo concierto en nuestra programación Off 2019. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TnijSg2FN/?igshid=pwjunxwowhps.;# Fiavl2019 Thanks to runajazz_ec for a tremendous concert on our Off 2019 program. # OffLoja2019 #LojaParaElMundo in Loja, Ecuador https://www.instagram.com/p/B5TnijSg2FN/?igshid=pwjunxwowhps.;0.26666666666666666;0.6
52;1,20E+18;https://twitter.com/festivaloffloja/status/1199104075125551109;festivaloffloja;;2019-11-25 23:14:24+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 El concierto de Polilla Gitano estuvo espectacular en la parroquia de Vilcabamba. Gran talento!!! #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TnQrbAKZt/?igshid=1ike12ndgkkvk.;# Fiavl2019 The concert of Polilla Gitano was spectacular in the parish of Vilcabamba. ;0.6;0.9
53;1,20E+18;https://twitter.com/festivaloffloja/status/1199103678143176709;festivaloffloja;;2019-11-25 23:12:49+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Lyzbeth Badaraco Quartet fue parte de nuestra programación Off en la Parroquia de Vilcabamba. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TnFCwg8G9/?igshid=ro494rveqklt.;# Fiavl2019 Lyzbeth Badaraco Quartet was part of our Off programming in the Parish of Vilcabamba. ;0.0;0.0
54;1,20E+18;https://twitter.com/festivaloffloja/status/1199103259538968576;festivaloffloja;;2019-11-25 23:11:09+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Circo Social Municipal con su obra Piensa se prestaron en la Parroquia de Vilcabamba. Demostrando su gran talento. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5Tm49OgH_p/?igshid=1lhc01cdcsrmf.;# Fiavl2019 Municipal Social Circus with his work Piensa were lent in the Parish of Vilcabamba. ;0.03333333333333333;0.06666666666666667
55;1,20E+18;https://twitter.com/festivaloffloja/status/1199102727357419520;festivaloffloja;;2019-11-25 23:09:03+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Concierto de Tomback causó mucha sensación en el público. Un concierto espectacular! #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TmpS0AHKg/?igshid=g7xc5wfnb9qe.;# Fiavl2019 Tomback concert caused a lot of sensation in the public. ;0.0;0.06666666666666667
56;1,20E+18;https://twitter.com/festivaloffloja/status/1199102296539516928;festivaloffloja;;2019-11-25 23:07:20+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Reencuentro de Bandas / MAX. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5Tmc7GAl0o/?igshid=17v0zdhtcjga9.;# Fiavl2019 Reunion of Bands / MAX. ;0.0;0.0
57;1,20E+18;https://twitter.com/festivaloffloja/status/1199101637278568450;festivaloffloja;;2019-11-25 23:04:43+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Reencuentro de Bandas / Finado Sucre. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TmJu0AXps/?igshid=1ui8dpa1b7yon.;# Fiavl2019 Reunion of Bands / Finado Sucre. ;0.0;0.0
58;1,20E+18;https://twitter.com/festivaloffloja/status/1199099936559845376;festivaloffloja;;2019-11-25 22:57:57+00:00;0;0;;#Fiavl2019;;#Fiavl2019 Alex Payaso y su obra Ooo... Estuvo espectacular...!!! Grande Alex! en Loja, Ecuador https://www.instagram.com/p/B5TlYPYg2k2/?igshid=toqaix8z9qev.;# Fiavl2019 Alex Payaso and his work Ooo ... It was spectacular ... !!! ;1.0;0.9
59;1,20E+18;https://twitter.com/festivaloffloja/status/1199099466139283458;festivaloffloja;;2019-11-25 22:56:05+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 El caballero Ataca de Nuevo de El Teatro del Duende en el Festival Off Loja 2019. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TlKj4gsDC/?igshid=p05q0pa6kwd0.;# Fiavl2019 The knight attacks El Duende Theater again at the Off Loja Festival 2019. # OffLoja2019 #LojaParaElMundo in Loja, Ecuador https://www.instagram.com/p/B5TlKj4gsDC/?igshid=p05q0pa6kwd0.;0.0;0.0
60;1,20E+18;https://twitter.com/festivaloffloja/status/1199098708098535424;festivaloffloja;;2019-11-25 22:53:04+00:00;1;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 En concierto tuvimos a alieneselectropop. Que gran show. Felicitaciones! #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5Tk0X1gO9Z/?igshid=1cyin0x356uxj.;# Fiavl2019 In concert we had alieneselectropop. ;0.0;0.0
61;1,20E+18;https://twitter.com/festivaloffloja/status/1199097939022487553;festivaloffloja;;2019-11-25 22:50:01+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 Manípulo fue un show increíble de Talvez Danza Contemporánea. De lucieron con sus movimientos. #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5TkODxA2_n/?igshid=1b170htn8bzm5.;# Fiavl2019 Manipulo was an incredible show by Talvez Danza Contemp contemporary. ;0.5333333333333333;0.5333333333333333
