ID;,ENLACE PERMANENTE;,NOMBRE USUARIO;,@;,FECHA;,RETWEETS;,FAVORITO;,MENCIONA;,HASHTAGS;,GEO;,POLARIDAD;,SUBJETIVIDAD;,TEXTO
1217456787932078081;,https://twitter.com/LoretoIsa/status/1217456787932078081;,LoretoIsa;,None;,2020-01-15 14:41:32+00:00;,0;,0;,@Nodalcultura;,#FIAVL2019 #SmartLand;,;,0.1;,0.1;,"b'Presentation of the cultural indicators of # FIAVL2019, product of the evaluation carried out by the Regional, Tourist, Communication and Cultural Observatories of our #SmartLand initiative. '"
1217449503214665728;,https://twitter.com/Cultura_Ec/status/1217449503214665728;,Cultura_Ec;,None;,2020-01-15 14:12:35+00:00;,5;,4;,@Nodalcultura;,;,;,0.1;,0.1;,b'NEWS | '
1217254606918574080;,https://twitter.com/CapturLojaofic1/status/1217254606918574080;,CapturLojaofic1;,None;,2020-01-15 01:18:08+00:00;,0;,0;,;,#FIAVL;,;,0.0;,0.0;,b'#FIAVL Low presence of tourists https://radiomatovelleloja.com/baja-presencia-de-turistas-en-festival-de-artes-vivas-2019/'
1217211054247350272;,https://twitter.com/Cultura_Ec/status/1217211054247350272;,Cultura_Ec;,None;,2020-01-14 22:25:04+00:00;,59;,64;,;,;,;,0.06666666666666667;,0.08333333333333334;,b'[BULLETIN] Citizen Cultural Observatory of Loja delivered results of the 4th. '
1217201604375564289;,https://twitter.com/estebansar/status/1217201604375564289;,estebansar;,BailonOficial;,2020-01-14 21:47:31+00:00;,1;,0;,;,;,;,0.05000000000000002;,0.5;,"b'Mr. Mayor, we think it is an excellent proposal, based on the interests of the general public. '"
1217200695490859009;,https://twitter.com/BailonOficial/status/1217200695490859009;,BailonOficial;,None;,2020-01-14 21:43:54+00:00;,5;,12;,@Cultura_Ec;,#FIAVL #MunicipioDeLoja;,;,0.05;,0.05;,"b'At a press conference with the Minister of Culture, Juan Fernando Velasco, I confirmed that the #FIAVL must be one to consolidate the denomination of Loja as a cultural, musical and artistic city. '"
1217137391863062533;,https://twitter.com/Cultura_Zonal7/status/1217137391863062533;,Cultura_Zonal7;,None;,2020-01-14 17:32:22+00:00;,0;,0;,@juanfervelasco @FelixAlvear54 @Cultura_Ec;,;,;,0.0;,0.0;,"b'""We have agreed with the Mayor and the 5th. FIAVL 2020 will be held from Thursday 12 to Sunday 22 November"" @juanfervelasco @ FelixAlvear54 @Cultura_Ec'"
1217136088155852802;,https://twitter.com/MunicipioDeLoja/status/1217136088155852802;,MunicipioDeLoja;,None;,2020-01-14 17:27:11+00:00;,2;,2;,@juanfervelasco;,#FIAVL #JuntosAlBicentenario;,;,0.0;,0.0;,"b'@ juanfervelasco ""It has never been possible to boost the economy of Loja as much as the #FIAVL has achieved. We are jointly committed to uniting the IN and OFF components. The objective is to consolidate spaces to generate artistic-cultural activity."" '"
1217135210573324288;,https://twitter.com/Cultura_Zonal7/status/1217135210573324288;,Cultura_Zonal7;,None;,2020-01-14 17:23:42+00:00;,1;,0;,@juanfervelasco;,;,;,0.0;,0.0;,"b'""In the 5th FIAVL we have the commitment to incorporate to make this Festival inclusive, especially for people living with disabilities"" @juanfervelasco'"
1217109987841003528;,https://twitter.com/ObservacomU/status/1217109987841003528;,ObservacomU;,None;,2020-01-14 15:43:28+00:00;,1;,3;,@Cultura_Ec;,;,;,0.0;,0.0;,b'The Communication Observatory provides indicators on the treatment of FIAVL 2019 information in local and national media to the Ministry of @Cultura_Ec https://twitter.com/utpl/status/1217106672054874113'
1215306010866397189;,https://twitter.com/utpl/status/1215306010866397189;,utpl;,None;,2020-01-09 16:15:06+00:00;,0;,4;,@catimier @ObservacomU;,#Comunicaci;,;,0.0;,0.0;,"b'@catimier, coordinator of @ObservacomU exposes about the informative treatment of the media at the International Festival of Live Arts Loja (FIAVL). '"
1215302213448486912;,https://twitter.com/ObservacomU/status/1215302213448486912;,ObservacomU;,None;,2020-01-09 16:00:01+00:00;,0;,0;,@catimier @ObservacomU @FestivalDeLoja;,#FIAVL;,;,0.0;,0.0;,"b'Next, @catimier coordinator of @ObservacomU deepens the informative treatment of the media at the International Festival of Live Arts Loja, 2019 (@FestivalDeLoja - #FIAVL).'"
1210990887787995136;,https://twitter.com/XndreSz/status/1210990887787995136;,XndreSz;,None;,2019-12-28 18:28:21+00:00;,1;,1;,;,#RickAndMorty #MrMeeseeks #Travel #Viaje #Viajeros #NikonD3100 #Nikon #Musicians #Musicos #Travelers #Photograph #Photography #Fotografia #FIAVL #Loja #Ecuador;,;,0.0;,0.0;,b'Wachame ... \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 #RickAndMorty #MrMeeseeks #Travel #Travel #Travellers # NikonD3100 #Nikon #Musicians #Musicians #Travelers #Photograph #Photography #Photography #FIAVL #Loja #Ecuador https://www.instagram.com '
1205977309217513474;,https://twitter.com/queendelqueso/status/1205977309217513474;,queendelqueso;,None;,2019-12-14 22:26:11+00:00;,1;,47;,@d_cholakian;,;,;,0.0;,0.75;,"b'My dad @d_cholakian is the winner of the journalism and photography prize More Yours Than Ever 2019 for his work with the theme ""FIAVL 2019: First images of the Ecuadorian Theater"". '"
1205250917450293248;,https://twitter.com/juliovivanco3/status/1205250917450293248;,juliovivanco3;,luisevivanco;,2019-12-12 22:19:45+00:00;,0;,2;,;,;,;,0.1;,0.1;,"b""3/3 First and largest recreational park JIPIRO Pioneer in distance university studies Headquarters of the FIAVL Festival of Living Arts, Ecuador's largest cultural festival FIRST DINOSAUR DISCOVERED IN ECUADOR SAMANASAURUS LOJAENSIS."""
1204873578233155585;,https://twitter.com/juliovivanco3/status/1204873578233155585;,juliovivanco3;,None;,2019-12-11 21:20:21+00:00;,2;,4;,;,;,;,0.1;,0.1;,"b""First and largest recreational park JIPIRO Pioneer in distance university studies Headquarters of the FIAVL Festival of Living Arts, Ecuador's largest cultural festival FIRST DINOSAUR DISCOVERED IN ECUADOR SAMANASAURUS LOJAENSIS."""
1203853393435004929;,https://twitter.com/danielsam_76/status/1203853393435004929;,danielsam_76;,None;,2019-12-09 01:46:30+00:00;,0;,1;,;,#FIAVL;,;,-0.21666666666666667;,0.3666666666666667;,"b'After 4 #FIAVL (November), in the cultural, musical and artistic city of Loja, it will not come out that the only thing we have left to see in December is the Debora V \xe2\x82\xac g \xe2\x80\x99:( \xc2\xa3 ara.'"
1202976585684541441;,https://twitter.com/Jorge8ast/status/1202976585684541441;,Jorge8ast;,panchoteran;,2019-12-06 15:42:22+00:00;,2;,2;,@luisevivanco @juanfervelasco;,;,;,0.0;,1.0;,b'@luisevivanco Note that @juanfervelasco opened the FIAVL 2019 with a high quality concert. '
1202414750417772544;,https://twitter.com/DanielElPinta/status/1202414750417772544;,DanielElPinta;,None;,2019-12-05 02:29:50+00:00;,1;,3;,;,#fiavl2019 #loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors;,;,0.3666666666666667;,0.3666666666666667;,b'More than the # fiavl2019 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 ## loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday # like4like #likelike #photo #photograph '
1200626251263700993;,https://twitter.com/gustavo_oso/status/1200626251263700993;,gustavo_oso;,None;,2019-11-30 04:02:59+00:00;,0;,0;,;,;,;,0.0;,0.0;,"b'THANK YOU THOUSAND for the dedication, effort and above all the love with which this fourth FIAVL 2019 worked and without a doubt the special thanks for the trust given to the people who were part of the team of\xe2\x80\xa6 https://www.instagram.com '"
1199873352522960898;,https://twitter.com/caguerreroabad/status/1199873352522960898;,caguerreroabad;,None;,2019-11-28 02:11:14+00:00;,1;,1;,@juanfervelasco;,;,;,0.0;,0.0;,b'@juanfervelasco for your better understanding and processing of the FIAVL'
1199811040474812416;,https://twitter.com/tiago_furioso/status/1199811040474812416;,tiago_furioso;,oxemell;,2019-11-27 22:03:38+00:00;,0;,1;,;,;,;,0.0;,0.0;,b'Escreva seu nome: Tiago De olhos dated: Tiago Com or cotovelo: Tiago Com or nose: Tiago Com or queixo: tuago Com a boca: fiavl Com a testa: vrukr'
1199742816886366210;,https://twitter.com/CapturLojaofic1/status/1199742816886366210;,CapturLojaofic1;,None;,2019-11-27 17:32:32+00:00;,2;,3;,@radiozapotillo @rengelito1979 @FransObaco @FestivalDeLoja;,#CapturInforma #FIAVL;,;,0.0;,0.0;,"b'#CapturInforma In @radiozapotillo with @ rengelito1979 the president of Captur-Loja @FransObaco makes an evaluation #FIAVL, further promotion is necessary, we hope that the Veedora Commission formed for @FestivalDeLoja, deliver the results of what was this event.'"
1199728839485616128;,https://twitter.com/festivaloffloja/status/1199728839485616128;,festivaloffloja;,None;,2019-11-27 16:36:59+00:00;,2;,4;,;,#Fiavl #OffLoja2019 #LojaParaElMundo #LojanosIlustres;,;,0.0;,0.0;,b'Did you know? '
1199435997819416577;,https://twitter.com/dohnkan/status/1199435997819416577;,dohnkan;,None;,2019-11-26 21:13:20+00:00;,0;,0;,@YouTube;,;,;,0.0;,0.0;,b'Calasanz Loja Educational Unit FIAVL Parade 2019 https://youtu.be/QEM9S6IsFFY via @YouTube'
1199371102792880128;,https://twitter.com/CapturLojaofic1/status/1199371102792880128;,CapturLojaofic1;,None;,2019-11-26 16:55:28+00:00;,6;,10;,@plustv25 @FransObaco @patoedg @HMunetonZ @revistacuenca @Captur_Azuay;,#FIAVL;,;,0.0;,0.0;,b'| Now | '
1199170189985746946;,https://twitter.com/jorgepaguay/status/1199170189985746946;,jorgepaguay;,None;,2019-11-26 03:37:07+00:00;,0;,0;,;,#ActualidadTuristicaEc;,;,0.0;,0.0;,b'#ActualidadTuristicaEc | '
1199166705550934017;,https://twitter.com/DanielElPinta/status/1199166705550934017;,DanielElPinta;,None;,2019-11-26 03:23:16+00:00;,1;,3;,;,#fiavl2019 #loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors;,;,0.3666666666666667;,0.3666666666666667;,b'My count of # fiavl2019 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 ## loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday # like4like #likelike #photo #photograph #comunication # '
1199146549512568833;,https://twitter.com/marchelomendiet/status/1199146549512568833;,marchelomendiet;,None;,2019-11-26 02:03:11+00:00;,0;,1;,;,#body #bodypaint #africa #artist #artista #artistic #mimejormomentofiavl2019 #fiavl #loja;,;,0.3333333333333333;,1.0;,b'6th. '
1199066899583242240;,https://twitter.com/jorgepaguay/status/1199066899583242240;,jorgepaguay;,None;,2019-11-25 20:46:41+00:00;,0;,0;,;,;,;,0.0;,0.0;,b'The cultural indicators of Fiavl will be known in December https://ift.tt/2qJw7eN'
1199022837631201281;,https://twitter.com/cce_moronastgo/status/1199022837631201281;,cce_moronastgo;,None;,2019-11-25 17:51:35+00:00;,3;,1;,;,#FestivalLojaM #Yampuna;,;,0.0;,0.0;,"b'The talented artists of the D2 Theater Laboratory were our ambassadors of living arts in the 4th edition of the # FestivalLojaM\xc3\xa1sTuyoQueNunca, with #Yampuna, a tender story about a bird hunter living in the Amazon. '"
1198966484980113410;,https://twitter.com/veronicaariasf/status/1198966484980113410;,veronicaariasf;,SandoyaC;,2019-11-25 14:07:40+00:00;,0;,2;,@AsambleaEcuador;,;,;,0.0;,0.0;,"b'I want to point out that it is not a resolution of the Assembly, but rather an FIAVL institutionalization LAW that I presented and that was unanimously approved in the @Asa AssemblyEcuador'"
1198812930520862724;,https://twitter.com/Mayli35706832/status/1198812930520862724;,Mayli35706832;,None;,2019-11-25 03:57:30+00:00;,0;,1;,;,#FIAVL #Cristina;,;,0.0;,0.0;,b'The International Live Arts Festival Loja 2019 (#FIAVL) ended today. '
1198801679971487746;,https://twitter.com/_SophieCuevaM/status/1198801679971487746;,_SophieCuevaM;,None;,2019-11-25 03:12:47+00:00;,0;,2;,@juanfervelasco;,#Loja;,;,0.0;,0.0;,"b'#Loja had 10 days of art, culture, color and smiles .. today the FIAVL ended and @juanfervelasco deserves a big round of applause! '"
1198797151104430081;,https://twitter.com/Maurici01123127/status/1198797151104430081;,Maurici01123127;,None;,2019-11-25 02:54:48+00:00;,0;,0;,;,;,;,0.0;,0.0;,b'With night of lights closes this edition of the FIAVL'
1198797149288439809;,https://twitter.com/Maurici01123127/status/1198797149288439809;,Maurici01123127;,None;,2019-11-25 02:54:47+00:00;,0;,0;,;,;,;,0.0;,0.0;,b'FIAVL 2019 is a waste of talent.'
1198772033821257728;,https://twitter.com/FestivalDeLoja/status/1198772033821257728;,FestivalDeLoja;,None;,2019-11-25 01:14:59+00:00;,1;,5;,;,#FestivalLojaM;,;,0.0;,0.0;,"b'Patricio Vallejo Aristiz\xc3\xa1bal, director of the FIAVL: ""This is an event that is woven minute by minute, every day to create this beautiful Festival."" '"
1198631246043189248;,https://twitter.com/Nodalcultura/status/1198631246043189248;,Nodalcultura;,None;,2019-11-24 15:55:33+00:00;,8;,15;,@FestivalDeLoja @VallejoPato;,#Ecuador #ElFiavlM;,;,0.0;,0.0;,"b'#Ecuador Today is the last day of @FestivalDeLoja In this chronicle we try to explain why, as @VallejoPato suggested ""the FIAVL is on its way to becoming a new legend in a city of legends"" http://www.nodalcultura.am/2019 '"
1198600841000890374;,https://twitter.com/cachalaco/status/1198600841000890374;,cachalaco;,juanfervelasco;,2019-11-24 13:54:44+00:00;,0;,2;,;,;,;,0.1;,0.1;,"b""Without a doubt, that's why I think the mistake comes from the headline and I took the time to read the whole note. """
1198587433408970752;,https://twitter.com/cachalaco/status/1198587433408970752;,cachalaco;,juanfervelasco;,2019-11-24 13:01:27+00:00;,0;,1;,;,;,;,0.1;,0.1;,b'It seems to me that the headline of the newspaper is not exactly right. '
1198425499229458432;,https://twitter.com/jmartyn593/status/1198425499229458432;,jmartyn593;,None;,2019-11-24 02:17:59+00:00;,2;,5;,@MinturZonal7 @FestivalDeLoja @festivaloffloja;,#MiMejorMomentoFIAVL2019 #photography #photo #edicion #foto #fotografia #dise #producer #nature #Fiavl2019 #OffLoja2019 #LojaParaElMundo;,;,0.0;,0.0;,b'FIAVL 2019 Ministry of Tourism - Zonal Coordination 7 @ MinturZonal7 # MiMejorMomentoFIAVL2019 #photography #photo #edition #photo #photography #design #producer #nature # Fiavl2019 # OffLoja2019 #LojaParaElMundo @festivaldeloja @festivaloffloja @ j_martyn3'
1198339953639514112;,https://twitter.com/Wilmanpatricio/status/1198339953639514112;,Wilmanpatricio;,juanfervelasco;,2019-11-23 20:38:03+00:00;,1;,2;,;,;,;,0.0;,0.0;,b'I am a fan of your art. '
1198290677534253061;,https://twitter.com/lojaesmusica/status/1198290677534253061;,lojaesmusica;,None;,2019-11-23 17:22:15+00:00;,0;,3;,;,#23deNoviembre #FIAVL #LojaEsM #LojaEsCultura #LojaSiempreCreativa;,;,0.0;,0.0;,b'We share the musical events of November # 23 to delight your day with music. '
1198273859914489857;,https://twitter.com/CapturLojaofic1/status/1198273859914489857;,CapturLojaofic1;,None;,2019-11-23 16:15:25+00:00;,0;,0;,;,#FIAVL;,;,0.0;,0.0;,"b'Good weekend for everyone, enjoy the last days of #FIAVL'"
1198210247896240128;,https://twitter.com/patycarrionc/status/1198210247896240128;,patycarrionc;,None;,2019-11-23 12:02:39+00:00;,2;,3;,;,#SomosEducaci;,;,0.0;,0.0;,"b'In Loja we live with joy with our students the FIAVL 2019, where art is revealed in all its manifestations. '"
1197997837482635265;,https://twitter.com/jmartyn593/status/1197997837482635265;,jmartyn593;,None;,2019-11-22 21:58:36+00:00;,1;,9;,@MinturZonal7 @FestivalDeLoja @festivaloffloja;,#MiMejorMomentoFIAVL2019 #photography #photo #edicion #foto #fotografia #dise #producer #nature #Fiavl2019 #OffLoja2019 #LojaParaElMundo;,;,0.0;,0.0;,b'FIAVL 2019 Ministry of Tourism - Zonal Coordination 7 @ MinturZonal7 # MiMejorMomentoFIAVL2019 #photography #photo #edition #photo #photography #design #producer #nature # Fiavl2019 # OffLoja2019 #LojaParaElMundo @festivaldeloja @festivaloffloja @ j_martyn3'
1197997788631633920;,https://twitter.com/jmartyn593/status/1197997788631633920;,jmartyn593;,None;,2019-11-22 21:58:25+00:00;,0;,8;,@MinturZonal7 @FestivalDeLoja @festivaloffloja;,#MiMejorMomentoFIAVL2019 #photography #photo #edicion #foto #fotografia #dise #producer #nature #Fiavl2019 #OffLoja2019 #LojaParaElMundo;,;,0.0;,0.0;,b'FIAVL 2019 Ministry of Tourism - Zonal Coordination 7 @ MinturZonal7 # MiMejorMomentoFIAVL2019 #photography #photo #edition #photo #photography #design #producer #nature # Fiavl2019 # OffLoja2019 #LojaParaElMundo @festivaldeloja @festivaloffloja @ j_martyn3'
1197995673318285312;,https://twitter.com/jmartyn593/status/1197995673318285312;,jmartyn593;,None;,2019-11-22 21:50:00+00:00;,1;,8;,@MinturZonal7 @FestivalDeLoja @festivaloffloja;,#MiMejorMomentoFIAVL2019 #photography #photo #edicion #foto #fotografia #dise #producer #nature #Fiavl2019 #OffLoja2019 #LojaParaElMundo;,;,0.0;,0.0;,b'FIAVL 2019 Ministry of Tourism - Zonal Coordination 7 @ MinturZonal7 # MiMejorMomentoFIAVL2019 #photography #photo #edition #photo #photography #design #producer #nature # Fiavl2019 # OffLoja2019 #LojaParaElMundo @festivaldeloja @festivaloffloja @ j_martyn3'
1197995640502063104;,https://twitter.com/jmartyn593/status/1197995640502063104;,jmartyn593;,None;,2019-11-22 21:49:53+00:00;,1;,6;,@MinturZonal7 @FestivalDeLoja @festivaloffloja;,#MiMejorMomentoFIAVL2019 #photography #photo #edicion #foto #fotografia #dise #producer #nature #Fiavl2019 #OffLoja2019 #LojaParaElMundo;,;,0.0;,0.0;,b'FIAVL 2019 Ministry of Tourism - Zonal Coordination 7 @ MinturZonal7 # MiMejorMomentoFIAVL2019 #photography #photo #edition #photo #photography #design #producer #nature # Fiavl2019 # OffLoja2019 #LojaParaElMundo @festivaldeloja @festivaloffloja @ j_martyn3'
1197973957363818496;,https://twitter.com/CapturLojaofic1/status/1197973957363818496;,CapturLojaofic1;,None;,2019-11-22 20:23:43+00:00;,0;,0;,;,#FestivalLojaM #FIAVL;,;,0.0;,0.0;,"b'# FestivalLojaM\xc3\xa1sTuyoQueNunca A hot sun in Loja, motivates student participation, in the last days of #FIAVL'"
1197971629067907072;,https://twitter.com/lojaesmusica/status/1197971629067907072;,lojaesmusica;,None;,2019-11-22 20:14:28+00:00;,1;,1;,;,#22deNoviembre #FIAVL #LojaEsM #LojaEsCultura #LojaSiempreCreativa;,;,0.0;,0.0;,b'We share the musical events of November # 22 to delight your day with music. '
1197940073427329024;,https://twitter.com/CASIkeNoMotel/status/1197940073427329024;,CASIkeNoMotel;,None;,2019-11-22 18:09:04+00:00;,0;,0;,;,#CASIkeNOMotel #LlenaDeAmorTuCita #RelajateParaDisfrutar #love #Loja #Ecuador #artesvivasloja #fiavl #Motel #suites #beautiful #instagood #instalove #loveher #lovehim #pretty;,;,0.675;,0.8;,"b""It's funny and perverse minds #CASIkeNOMotel #LlenaDeAmorTuCita #RelajateParaEnjoy #love #Loja #Ecuador #artesvivasloja #fiavl #Motel #suites #beautiful #instagood #instalove #loveher #lovehim # prettyp ... https://www.instagram.com/ """
1197927793239216129;,https://twitter.com/casmuloja/status/1197927793239216129;,casmuloja;,None;,2019-11-22 17:20:16+00:00;,2;,2;,@Cultura_Ec @jdflores85;,#FIAVL;,;,0.0;,0.0;,"b'Cecilia Moscoso, president of our institution, maintained a dialogue with the Undersecretary of Arts, Entrepreneurship and Innovation of the Ministry of @Cultura_Ec, @ jdflores85, in order to strengthen actions around the development of #FIAVL.'"
1197875295832948737;,https://twitter.com/MunicipioDeLoja/status/1197875295832948737;,MunicipioDeLoja;,None;,2019-11-22 13:51:40+00:00;,1;,2;,;,#FIAVL #OFF #IN #FestivalLojaM #LojaParaElMundo;,;,0.0;,0.0;,b'Programming of #FIAVL! '
1197875284906840065;,https://twitter.com/MunicipioDeLoja/status/1197875284906840065;,MunicipioDeLoja;,None;,2019-11-22 13:51:38+00:00;,1;,4;,;,#FIAVL #OFF #IN #FestivalLojaM #LojaParaElMundo;,;,0.0;,0.0;,b'Programming of #FIAVL! '
1197858517144571905;,https://twitter.com/eltiempocuenca/status/1197858517144571905;,eltiempocuenca;,None;,2019-11-22 12:45:00+00:00;,3;,3;,;,;,;,0.0;,0.0;,"b'The artistic director of the FIAVL 2019, Patricio Vallejo Aristiz\xc3\xa1bal, sees in the new trends of the performing arts the ability to link different languages \xe2\x80\x8b\xe2\x80\x8baimed at producing frames with new fabrics of significance \xe2\x96\xba http://bit.ly/ArtesCuenca'"
1197692836264722434;,https://twitter.com/marchelomendiet/status/1197692836264722434;,marchelomendiet;,None;,2019-11-22 01:46:38+00:00;,0;,0;,;,#artesvivas #fiavl #mimejormomento #lojaprovince #lojacity #loja #ecuador #art #artlovers #dancer #dance #folklore #folclore #latinoamerica #elfolklorvive #elfolclorevive;,;,0.0;,0.0;,b'We keep breathing ART. '
1197642431501602817;,https://twitter.com/MaraJosBastidas/status/1197642431501602817;,MaraJosBastidas;,None;,2019-11-21 22:26:21+00:00;,0;,0;,;,#LiceodeLoja #FIAVL #OffLoja #arte #dibujos #artesvivasloja #Loja;,;,0.0;,0.0;,"b'#LiceodeLoja present in #FIAVL #OffLoja # 2019 #art #dibujos #artesvivasloja my princess, love of my life, how cute it is #Loja https://www.instagram.com/p/B5JOk5qg8tu0IPjNiAoRLpxOFXDpDkFkZNSSQo0/digftj=dzd96'"
1197530883181436928;,https://twitter.com/plustv25/status/1197530883181436928;,plustv25;,None;,2019-11-21 15:03:06+00:00;,4;,6;,;,#Loja #FIAVL;,;,0.0;,0.0;,"b'Find out about the activities scheduled for this Thursday, November 21 at #Loja by #FIAVL'"
1197527601016983554;,https://twitter.com/lojaesmusica/status/1197527601016983554;,lojaesmusica;,None;,2019-11-21 14:50:03+00:00;,2;,4;,;,#21deNoviembre #FIAVL #LojaEsM #LojaEsCultura #LojaSiempreCreativa;,;,0.0;,0.0;,b'We share the musical events of November # 21 to delight your day with music. '
